fecha,linea,turno,produccion_real,capacidad_teorica,defectos,tiempo_parada_min,horas_planificadas
2026-01-05,Línea A - Torno CNC,manana,467,520,9,25,8
2026-01-05,Línea B - Prensa Hidráulica,manana,343,520,35,84,8
2026-01-05,Línea C - Soldadura,manana,414,520,34,38,8
2026-01-05,Línea A - Torno CNC,tarde,468,520,8,16,8
2026-01-05,Línea B - Prensa Hidráulica,tarde,298,520,18,46,8
2026-01-05,Línea C - Soldadura,tarde,367,520,18,49,8
2026-01-06,Línea A - Torno CNC,manana,446,520,4,31,8
2026-01-06,Línea B - Prensa Hidráulica,manana,279,520,39,54,8
2026-01-06,Línea C - Soldadura,manana,368,520,28,28,8
2026-01-06,Línea A - Torno CNC,tarde,465,520,7,17,8
2026-01-06,Línea B - Prensa Hidráulica,tarde,266,520,60,90,8
2026-01-06,Línea C - Soldadura,tarde,356,520,35,27,8
2026-01-07,Línea A - Torno CNC,manana,463,520,3,9,8
2026-01-07,Línea B - Prensa Hidráulica,manana,292,520,47,95,8
2026-01-07,Línea C - Soldadura,manana,377,520,25,24,8
2026-01-07,Línea A - Torno CNC,tarde,449,520,8,28,8
2026-01-07,Línea B - Prensa Hidráulica,tarde,297,520,18,99,8
2026-01-07,Línea C - Soldadura,tarde,371,520,21,53,8
2026-01-08,Línea A - Torno CNC,manana,475,520,13,13,8
2026-01-08,Línea B - Prensa Hidráulica,manana,272,520,43,117,8
2026-01-08,Línea C - Soldadura,manana,369,520,26,29,8
2026-01-08,Línea A - Torno CNC,tarde,442,520,13,30,8
2026-01-08,Línea B - Prensa Hidráulica,tarde,280,520,51,101,8
2026-01-08,Línea C - Soldadura,tarde,365,520,31,66,8
2026-01-09,Línea A - Torno CNC,manana,459,520,16,5,8
2026-01-09,Línea B - Prensa Hidráulica,manana,308,520,40,85,8
2026-01-09,Línea C - Soldadura,manana,382,520,10,41,8
2026-01-09,Línea A - Torno CNC,tarde,465,520,15,15,8
2026-01-09,Línea B - Prensa Hidráulica,tarde,253,520,33,116,8
2026-01-09,Línea C - Soldadura,tarde,387,520,23,52,8
2026-01-12,Línea A - Torno CNC,manana,461,520,13,14,8
2026-01-12,Línea B - Prensa Hidráulica,manana,267,520,34,55,8
2026-01-12,Línea C - Soldadura,manana,386,520,30,45,8
2026-01-12,Línea A - Torno CNC,tarde,456,520,4,16,8
2026-01-12,Línea B - Prensa Hidráulica,tarde,266,520,29,89,8
2026-01-12,Línea C - Soldadura,tarde,388,520,44,47,8
2026-01-13,Línea A - Torno CNC,manana,463,520,9,5,8
2026-01-13,Línea B - Prensa Hidráulica,manana,275,520,40,159,8
2026-01-13,Línea C - Soldadura,manana,375,520,30,44,8
2026-01-13,Línea A - Torno CNC,tarde,442,520,14,26,8
2026-01-13,Línea B - Prensa Hidráulica,tarde,302,520,28,131,8
2026-01-13,Línea C - Soldadura,tarde,349,520,33,75,8
2026-01-14,Línea A - Torno CNC,manana,445,520,7,20,8
2026-01-14,Línea B - Prensa Hidráulica,manana,257,520,20,97,8
2026-01-14,Línea C - Soldadura,manana,356,520,32,32,8
2026-01-14,Línea A - Torno CNC,tarde,483,520,6,17,8
2026-01-14,Línea B - Prensa Hidráulica,tarde,300,520,24,101,8
2026-01-14,Línea C - Soldadura,tarde,408,520,13,47,8
2026-01-15,Línea A - Torno CNC,manana,463,520,13,10,8
2026-01-15,Línea B - Prensa Hidráulica,manana,228,520,47,103,8
2026-01-15,Línea C - Soldadura,manana,385,520,31,35,8
2026-01-15,Línea A - Torno CNC,tarde,463,520,11,14,8
2026-01-15,Línea B - Prensa Hidráulica,tarde,333,520,46,64,8
2026-01-15,Línea C - Soldadura,tarde,394,520,19,56,8
2026-01-16,Línea A - Torno CNC,manana,477,520,6,27,8
2026-01-16,Línea B - Prensa Hidráulica,manana,283,520,51,147,8
2026-01-16,Línea C - Soldadura,manana,374,520,21,32,8
2026-01-16,Línea A - Torno CNC,tarde,447,520,9,22,8
2026-01-16,Línea B - Prensa Hidráulica,tarde,278,520,51,97,8
2026-01-16,Línea C - Soldadura,tarde,411,520,25,83,8
2026-01-19,Línea A - Torno CNC,manana,469,520,6,11,8
2026-01-19,Línea B - Prensa Hidráulica,manana,283,520,38,116,8
2026-01-19,Línea C - Soldadura,manana,390,520,27,33,8
2026-01-19,Línea A - Torno CNC,tarde,437,520,8,26,8
2026-01-19,Línea B - Prensa Hidráulica,tarde,274,520,24,102,8
2026-01-19,Línea C - Soldadura,tarde,388,520,20,47,8
2026-01-20,Línea A - Torno CNC,manana,460,520,5,22,8
2026-01-20,Línea B - Prensa Hidráulica,manana,283,520,55,127,8
2026-01-20,Línea C - Soldadura,manana,349,520,19,52,8
2026-01-20,Línea A - Torno CNC,tarde,467,520,12,45,8
2026-01-20,Línea B - Prensa Hidráulica,tarde,283,520,56,124,8
2026-01-20,Línea C - Soldadura,tarde,394,520,25,55,8
2026-01-21,Línea A - Torno CNC,manana,448,520,9,16,8
2026-01-21,Línea B - Prensa Hidráulica,manana,266,520,72,47,8
2026-01-21,Línea C - Soldadura,manana,395,520,13,38,8
2026-01-21,Línea A - Torno CNC,tarde,476,520,10,11,8
2026-01-21,Línea B - Prensa Hidráulica,tarde,240,520,50,78,8
2026-01-21,Línea C - Soldadura,tarde,384,520,28,35,8
2026-01-22,Línea A - Torno CNC,manana,492,520,12,5,8
2026-01-22,Línea B - Prensa Hidráulica,manana,267,520,33,123,8
2026-01-22,Línea C - Soldadura,manana,362,520,26,52,8
2026-01-22,Línea A - Torno CNC,tarde,472,520,5,17,8
2026-01-22,Línea B - Prensa Hidráulica,tarde,246,520,33,148,8
2026-01-22,Línea C - Soldadura,tarde,388,520,16,57,8
2026-01-23,Línea A - Torno CNC,manana,491,520,14,7,8
2026-01-23,Línea B - Prensa Hidráulica,manana,244,520,59,80,8
2026-01-23,Línea C - Soldadura,manana,389,520,34,32,8
2026-01-23,Línea A - Torno CNC,tarde,459,520,3,11,8
2026-01-23,Línea B - Prensa Hidráulica,tarde,251,520,25,146,8
2026-01-23,Línea C - Soldadura,tarde,348,520,24,46,8
2026-01-26,Línea A - Torno CNC,manana,481,520,4,29,8
2026-01-26,Línea B - Prensa Hidráulica,manana,258,520,29,114,8
2026-01-26,Línea C - Soldadura,manana,384,520,22,45,8
2026-01-26,Línea A - Torno CNC,tarde,454,520,10,25,8
2026-01-26,Línea B - Prensa Hidráulica,tarde,307,520,26,161,8
2026-01-26,Línea C - Soldadura,tarde,337,520,26,53,8
2026-01-27,Línea A - Torno CNC,manana,464,520,7,18,8
2026-01-27,Línea B - Prensa Hidráulica,manana,240,520,35,126,8
2026-01-27,Línea C - Soldadura,manana,387,520,21,57,8
2026-01-27,Línea A - Torno CNC,tarde,464,520,13,25,8
2026-01-27,Línea B - Prensa Hidráulica,tarde,230,520,35,123,8
2026-01-27,Línea C - Soldadura,tarde,393,520,27,46,8
2026-01-28,Línea A - Torno CNC,manana,479,520,7,24,8
2026-01-28,Línea B - Prensa Hidráulica,manana,247,520,40,134,8
2026-01-28,Línea C - Soldadura,manana,398,520,35,63,8
2026-01-28,Línea A - Torno CNC,tarde,460,520,12,17,8
2026-01-28,Línea B - Prensa Hidráulica,tarde,263,520,41,105,8
2026-01-28,Línea C - Soldadura,tarde,393,520,20,74,8
2026-01-29,Línea A - Torno CNC,manana,444,520,5,29,8
2026-01-29,Línea B - Prensa Hidráulica,manana,276,520,52,121,8
2026-01-29,Línea C - Soldadura,manana,379,520,19,46,8
2026-01-29,Línea A - Torno CNC,tarde,449,520,13,18,8
2026-01-29,Línea B - Prensa Hidráulica,tarde,227,520,39,115,8
2026-01-29,Línea C - Soldadura,tarde,367,520,20,48,8
2026-01-30,Línea A - Torno CNC,manana,463,520,7,16,8
2026-01-30,Línea B - Prensa Hidráulica,manana,257,520,23,63,8
2026-01-30,Línea C - Soldadura,manana,364,520,26,49,8
2026-01-30,Línea A - Torno CNC,tarde,482,520,13,18,8
2026-01-30,Línea B - Prensa Hidráulica,tarde,249,520,30,103,8
2026-01-30,Línea C - Soldadura,tarde,373,520,30,33,8
2026-02-02,Línea A - Torno CNC,manana,467,520,16,19,8
2026-02-02,Línea B - Prensa Hidráulica,manana,260,520,53,93,8
2026-02-02,Línea C - Soldadura,manana,384,520,28,46,8
2026-02-02,Línea A - Torno CNC,tarde,448,520,10,23,8
2026-02-02,Línea B - Prensa Hidráulica,tarde,292,520,57,167,8
2026-02-02,Línea C - Soldadura,tarde,363,520,35,47,8
2026-02-03,Línea A - Torno CNC,manana,492,520,6,13,8
2026-02-03,Línea B - Prensa Hidráulica,manana,228,520,18,90,8
2026-02-03,Línea C - Soldadura,manana,363,520,29,49,8
2026-02-03,Línea A - Torno CNC,tarde,488,520,13,15,8
2026-02-03,Línea B - Prensa Hidráulica,tarde,220,520,51,66,8
2026-02-03,Línea C - Soldadura,tarde,420,520,38,38,8
2026-02-04,Línea A - Torno CNC,manana,434,520,15,19,8
2026-02-04,Línea B - Prensa Hidráulica,manana,281,520,22,88,8
2026-02-04,Línea C - Soldadura,manana,380,520,28,38,8
2026-02-04,Línea A - Torno CNC,tarde,469,520,5,18,8
2026-02-04,Línea B - Prensa Hidráulica,tarde,248,520,52,127,8
2026-02-04,Línea C - Soldadura,tarde,355,520,14,62,8
2026-02-05,Línea A - Torno CNC,manana,464,520,7,32,8
2026-02-05,Línea B - Prensa Hidráulica,manana,246,520,62,109,8
2026-02-05,Línea C - Soldadura,manana,425,520,43,41,8
2026-02-05,Línea A - Torno CNC,tarde,474,520,12,30,8
2026-02-05,Línea B - Prensa Hidráulica,tarde,215,520,55,138,8
2026-02-05,Línea C - Soldadura,tarde,341,520,17,18,8
2026-02-06,Línea A - Torno CNC,manana,455,520,12,32,8
2026-02-06,Línea B - Prensa Hidráulica,manana,243,520,69,66,8
2026-02-06,Línea C - Soldadura,manana,342,520,27,50,8
2026-02-06,Línea A - Torno CNC,tarde,459,520,3,19,8
2026-02-06,Línea B - Prensa Hidráulica,tarde,203,520,55,118,8
2026-02-06,Línea C - Soldadura,tarde,359,520,23,30,8
2026-02-09,Línea A - Torno CNC,manana,459,520,13,12,8
2026-02-09,Línea B - Prensa Hidráulica,manana,254,520,38,84,8
2026-02-09,Línea C - Soldadura,manana,377,520,18,37,8
2026-02-09,Línea A - Torno CNC,tarde,442,520,17,20,8
2026-02-09,Línea B - Prensa Hidráulica,tarde,219,520,130,105,8
2026-02-09,Línea C - Soldadura,tarde,375,520,21,53,8
2026-02-10,Línea A - Torno CNC,manana,451,520,5,38,8
2026-02-10,Línea B - Prensa Hidráulica,manana,109,520,37,254,8
2026-02-10,Línea C - Soldadura,manana,392,520,30,88,8
2026-02-10,Línea A - Torno CNC,tarde,476,520,9,12,8
2026-02-10,Línea B - Prensa Hidráulica,tarde,192,520,92,86,8
2026-02-10,Línea C - Soldadura,tarde,348,520,18,35,8
