pedido_id,fecha_pedido,fecha_entrega_prometida,fecha_entrega_real,items_pedidos,items_entregados,almacen
PED-001,2025-01-03,2025-01-06,2025-01-06,50,50,A1
PED-002,2025-01-05,2025-01-08,2025-01-08,30,30,A1
PED-003,2025-01-08,2025-01-11,2025-01-13,45,45,A2
PED-004,2025-01-10,2025-01-13,2025-01-13,60,60,A1
PED-005,2025-01-12,2025-01-15,2025-01-15,25,25,A2
PED-006,2025-01-15,2025-01-18,2025-01-20,40,35,A1
PED-007,2025-01-18,2025-01-21,2025-01-21,55,55,A2
PED-008,2025-01-20,2025-01-23,2025-01-23,35,35,A1
PED-009,2025-01-22,2025-01-25,2025-01-25,70,70,A1
PED-010,2025-01-25,2025-01-28,2025-01-28,20,20,A2
PED-011,2025-02-01,2025-02-04,2025-02-04,45,45,A1
PED-012,2025-02-04,2025-02-07,2025-02-09,50,42,A2
PED-013,2025-02-07,2025-02-10,2025-02-10,30,30,A1
PED-014,2025-02-10,2025-02-13,2025-02-13,65,65,A2
PED-015,2025-02-14,2025-02-17,2025-02-17,40,40,A1
PED-016,2025-02-18,2025-02-21,2025-02-23,55,55,A2
PED-017,2025-02-22,2025-02-25,2025-02-25,35,35,A1
PED-018,2025-03-01,2025-03-04,2025-03-04,50,50,A2
PED-019,2025-03-05,2025-03-08,2025-03-08,45,45,A1
PED-020,2025-03-10,2025-03-13,2025-03-13,60,60,A2
